what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440630244579
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440630765322
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440630766230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440630778432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440630779412
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440630821445
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440630822243
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440630837917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440630838692
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440630878263
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440630878888
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440637416836
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440637417318
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440637421115
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1440637421923
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440637422790
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440639553772
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440639554260
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440639554518
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1440639555250
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1440639559285
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1440639559310
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1440639559329
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1440639559358
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1440639559361
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1440639559379
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1440639559379
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1440639559391
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1440639559391
stopped,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1440639559391
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1440639559392
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1440639559411
